INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', 'H', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
INFO:root:['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
